	dg_d	dg_v	ca3_d	ca3_v	ca2	ca1_d	ca1_i	ca1_v	sst	pv
ENSMUSG00000000244	0	0	0.0210395	0.500722	0	0.0249862	0	0	0	0
ENSMUSG00000000247	19.7575	16.0179	14.0125	21.9924	34.9132	7.19468	14.6565	15.3981	1.14138	0.113943
ENSMUSG00000000248	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	13.6597	7.37847	9.15579	10.0647	19.3389	24.6621	21.6365	12.2988	10.4242	15.6216
ENSMUSG00000000263	0	0.0618696	0	0.180948	0	0	0.0290988	0.0389891	0.196818	0.0728528
ENSMUSG00000000266	9.44565	13.4651	4.28449	11.1111	12.96	3.85331	3.65453	6.17055	33.3439	16.3271
ENSMUSG00000000275	0.182731	0.00398651	0.764918	0.255202	0.467801	0.022756	0.223604	0.284651	10.0414	4.00161
ENSMUSG00000000276	18.4672	16.4137	35.6818	17.2664	18.5501	13.9429	13.7632	15.827	17.1887	19.0849
ENSMUSG00000000278	0.815186	3.47982	3.72406	3.55927	2.36239	1.23961	1.66604	3.11729	26.9913	5.61109
ENSMUSG00000000282	7.61314	7.77624	4.97394	4.4107	2.83438	6.08723	6.74889	8.02992	7.71275	4.35094
ENSMUSG00000000290	0	0	0	0	0	0	0	0	0.725797	0
ENSMUSG00000000295	4.05312	6.71395	12.4009	11.4682	7.80106	5.03577	3.76237	6.65264	9.30248	1.386
ENSMUSG00000000296	21.2363	30.6177	12.3256	20.0171	6.40713	12.1773	11.8417	8.13864	1.65469	0.448695
ENSMUSG00000000301	0	1.5314	1.4487	1.00853	1.33337	2.85625	0.252238	0.69145	2.49317	1.74583
ENSMUSG00000000303	0	0	0	0	0	0	0.0108562	0	0.345997	0
ENSMUSG00000000305	0.0153554	2.25779	0.585813	1.1676	0.349726	0.642739	3.44497	4.24105	12.9013	5.60834
ENSMUSG00000000308	81.8745	64.2909	77.1899	128.421	113.137	97.8145	143.071	162.206	203.131	232.912
ENSMUSG00000000317	0.226783	0	0.0519056	0.306632	2.31074	0.297285	0.174439	0.144141	0.0207019	0.0171393
ENSMUSG00000000318	0	0.0672101	0	0.0103566	0	0	0	0	0	0
ENSMUSG00000000320	0	0.0296384	0.0906907	0	0.0945616	0	0	0	0	0
ENSMUSG00000000325	8.6253	3.85491	10.5465	4.49567	3.54516	2.37785	2.44938	6.89848	3.6565	2.04059
ENSMUSG00000000326	61.3976	37.8671	52.692	30.8841	50.4397	43.8237	31.8465	43.1551	25.9729	33.2707
ENSMUSG00000000339	8.65967	27.4384	40.1897	33.2914	35.8447	32.5978	38.5714	32.5194	36.8038	43.4987
ENSMUSG00000000340	4.22512	6.78524	5.75675	6.71814	6.10716	4.23021	5.5802	4.57401	6.01619	7.01553
ENSMUSG00000000346	99.5176	86.948	88.4737	52.065	87.1894	84.1373	61.6904	69.149	66.6701	70.6771
ENSMUSG00000000355	35.5424	36.1622	57.9202	46.5223	43.92	55.9581	36.0852	34.8673	37.6504	56.5969
ENSMUSG00000000359	0	0	0	0	0	0	0	0	0	0
